trip,dd,mm,yyyy,plantID,cii,tnlc,bang,btype,lblade,phylotax,phylotax2,growth-leaves,growth-branches,d10,d10h,dbh,dbhh,d1b,s1bh,sh,cmax,cmean,cmin,cd1,cd2,rhf,nl,np,lhm,phm,ef,rhs,td,tl,tv,thm,ldm,pdm,ttype,tdm,QC1,scan
10,7,10,2017,153834,1,NA,?,?,simple,alternate,spiral,r?,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3613,2,2,1020,87,141,1500,NA,NA,NA,NA,485,9,NA,NA,NO,ok
10,7,10,2017,153845,1,NA,?,?,simple,alternate,distic,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3445,5,5,410,17,162,1500,278,88,64,74,186,6,NA,38,NO,ok
10,7,10,2017,153815,1.125,17,NA,Without,simple,alternate,spiral,r,?,2941,10,2099,-10,1992,999,249,267,228,203,120,132,3458,1,1,2591,386,288,1500,NA,NA,NA,NA,1233,116,NA,NA,YES,ok
10,7,10,2017,153870,1.25,110,45,vertical,simple,opposite,cruzada,r,r,2155,10,1525,-10,1269,999,176,212,191,160,167,82,3325,5,5,1497,166,231,1500,568,92,279,326,608,57,NA,184,Q,ok
10,7,10,2017,153871,1.125,50,60,vertical,simple,opposite,distic,r,?,1265,10,1231,-10,855,999,137,166,147,110,157,88,3350,5,5,1206,90,241,1500,386,89,115,128,403,33,NA,59,YES,ok
10,7,10,2017,153840,1.5,72,30,exponential,simple,alternate,spiral,r,?,3896,20,3747,-10,3693,999,476,570,539,477,160,249,3343,2,2,2135,778,230,1500,NA,NA,NA,NA,986,217,NA,NA,YES,ok
10,7,10,2017,153866,1.5,120,45,vertical,simple,opposite,cruzada,r,r,2277,10,1490,-10,1454,999,27,178,151,100,242,96,3450,5,5,1685,173,222,1500,600,92,285,334,605,52,NA,172,NO,ok
10,7,10,2017,153865,1.125,NA,45,vertical,compound,alternate,spiral,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3455,2,2,597,91,164,1500,326,85,80,92,263,37,NA,45,NO,ok
10,7,10,2017,153860,1.25,475,45,vertical,simple,opposite,distic,r,r,2757,10,1953,-10,1639,999,246,289,211,79,143,145,3302,10,10,823,18,264,1500,436,96,165,193,312,7,NA,124,YES,ok
10,7,10,2017,153850,1,500,45,down-arched,simple,opposite,distic,r,?,2889,30,2841,-10,2807,999,294,391,309,218,165,194,3338,20,20,318,13,189,1500,384,86,118,137,136,4,NA,73,Q,ok
10,7,10,2017,153758,1,150,30,Horizontal,simple,alternate,spiral,r,r,3151,20,2454,-10,2224,999,470,490,380,263,129,174,3427,6,6,844,140,168,1500,573,95,260,289,350,43,NA,141,YES,ok
10,7,10,2017,153811,1.125,352,30,Horizontal,simple,opposite,distic,?,?,2440,10,1713,-10,1473,999,295,313,231,123,99,131,3435,20,20,533,11,240,1500,415,81,138,170,227,5,NA,108,YES,ok
10,7,10,2017,153776,1,286,30,Horizontal,simple,alternate,distic,r,?,2525,10,2094,-10,1964,999,321,389,292,101,149,261,3333,5,5,1037,74,318,1500,516,92,252,301,550,29,NA,190,YES,ok
10,7,10,2017,153733,1,120,60,logarithmic,simple,alternate,distic,r,?,2119,10,1514,-10,1262,999,119,171,109,71,175,160,3316,6,6,824,40,156,1500,444,80,126,153,405,14,NA,92,YES,ok
10,7,10,2017,153721,1.125,NA,30,s-shaped,simple,alternate,spiral,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3320,6,6,729,65,189,1500,504,84,199,225,370,26,NA,141,NO,ok
10,7,10,2017,153720,1.25,21,?,?,simple,alternate,spiral,r,?,1680,10,1210,-10,975,999,133,183,152,91,95,88,3429,4,4,1026,48,170,1500,389,78,109,126,436,17,NA,60,YES,ok
10,7,10,2017,153710,1.25,NA,45,vertical,simple,verticilate,?,r,r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3623,5,5,952,28,189,1500,356,93,105,113,356,7,NA,34,NO,ok
10,7,10,2017,153713,1.25,200,0,Horizontal,simple,alternate,distic,r,c?,2054,10,1110,-10,532,999,88,112,36,-37,120,116,3328,5,5,771,24,168,1500,415,76,127,145,375,11,NA,71,YES,ok
10,7,10,2017,153686,1.75,42,45,vertical,compound,alternate,spiral,r,?,3205,10,2575,-10,2417,999,369,384,325,167,160,160,3422,0.5,1,298,206,143,1500,456,71,135,139,146,82,NA,69,YES,ok
10,7,10,2017,153684,1.25,NA,30?,?,simple,opposite,distic,c?,r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3616,6,6,1135,47,352,1500,311,96,82,92,448,61,NA,41,NO,ok
10,7,10,2017,153672,1.5,288,0,Horizontal,simple,alternate,distic,r,?,4678,10,4073,-10,3897,999,585,644,454,261,276,211,3355,5,5,576,26,153,1500,771,91,415,424,314,8,NA,259,YES,ok
10,7,10,2017,153673,1.5,455,45,vertical,compound,alternate,in between,r,?,3071,10,2109,-10,1911,999,353,399,312,90,149,220,3410,3,3,220,17,143,1500,654,100,392,443,100,8,NA,265,YES,ok
10,7,10,2017,153679,1.75,NA,?,?,simple,?,?,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3626,2,2,559,31,245,1500,460,82,160,148,233,7,NA,63,NO,ok
10,7,10,2017,170228,1,192,0,Horizontal,simple,opposite,distic,r?,r,2707,10,2443,-10,2229,999,372,415,337,182,218,203,3207,6,6,1222,75,260,1345,659,105,379,448,558,20,NA,267,YES,ok
10,7,10,2017,170229,1,13,NA,Without,simple,opposite,cruzada,r?,?,1667,10,1161,-10,896,999,137,155,134,96,73,65,3135,3,3,1768,167,257,1345,NA,NA,NA,NA,762,48,NA,NA,YES,ok
10,7,10,2017,170234,1,63,45,logarithmic,simple,opposite,distic,c?,r?,2012,10,1747,-10,1369,999,260,317,291,232,154,90,3201,7,7,713,11,197,1345,407,91,138,159,365,4,NA,88,YES,ok
10,7,10,2017,170197,1,40,0,Horizontal,simple,alternate,distic,r,r?,3365,35,2767,-10,2507,999,329,344,295,275,195,129,3152,5,5,1543,168,186,1345,872,100,622,552,529,28,NA,178,YES,ok
10,7,10,2017,170211,1,245,0,Horizontal,simple,opposite,distic,r,r,2358,40,2189,-10,2326,999,507,608,456,249,261,229,3219,8,8,1525,54,217,1345,749,93,402,492,667,25,NA,333,YES,ok
10,7,10,2017,170171,1.125,176,0;30,Horizontal,simple,alternate,spiral,r,?,3017,10,2253,-10,1807,999,229,274,216,62,209,167,3204,6,6,972,160,158,1345,558,97,262,273,357,48,NA,113,YES,ok
10,7,10,2017,170165,1,43,0,Horizontal,simple,alternate,spiral,r?,r,2621,10,2178,-10,2217,999,455,468,364,283,86,89,3214,5,5,1577,114,258,1345,429,88,134,138,770,36,NA,55,YES,ok
10,7,10,2017,170130,1.125,NA,45,vertical,compound,alternate,distic,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3238,2,2,307,92,134,1345,817,64,361,394,148,41,NA,227,NO,ok
10,7,10,2017,170160,1.125,15,60,vertical,compound,alternate,spiral,r,?,1671,10,1318,-10,1028,999,257,264,195,71,60,36,3143,3,3,627,93,168,1345,NA,NA,NA,NA,242,39,NA,NA,YES,ok
10,7,10,2017,170066,1,16,NA,Without,simple,alternate,spiral,r?,?,2923,10,1990,-10,1757,50,310,349,319,297,146,135,3210,1,1,2008,227,208,1345,NA,NA,NA,NA,992,89,NA,NA,YES,ok
10,7,10,2017,170041,1.125,NA,30?,?,simple,alternate,distic,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3232,6,6,873,40,159,1345,453,86,133,145,382,17,NA,64,NO,ok
10,7,10,2017,170098,1.125,7,NA,Without,compound,alternate,spiral,r,?,1769,20,1430,-10,811,999,143,161,147,122,74,86,3147,0.5,1,453,212,152,1345,NA,NA,NA,NA,220,78,NA,NA,Q,ok
10,7,10,2017,170302,2,NA,?,?,bipinnate,alternate,spiral,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3222,1,1,770,248,131,1345,NA,NA,NA,NA,252,105,NA,NA,NO,ok
10,7,10,2017,170317,NA,23,45,vertical,simple,alternate,spiral,r,?,3012,10,2741,-10,2510,999,439,470,460,433,78,84,3155,1,1,1398,134,227,1345,915,106,672,721,598,45,NA,274,NO,ok
10,7,10,2017,170341,2,31,45,vertical,simple,alternate,spiral,r,?,3523,10,2700,-10,2538,999,471,505,478,428,134,93,3212,1,1,1745,182,233,1345,1045,94,867,951,755,59,NA,432,YES,ok
10,9,10,2017,003085,1,NA,30,Horizontal,simple,alternate,distic,r,r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3722,5,5,784,71,251,1500,493,96,195,221,261,16,NA,110,NO,ok
10,9,10,2017,008671,1,NA,30?,?,simple,alternate,distic,r,r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3636,4,4,1270,90,150,1500,753,117,573,484,472,16,NA,227,NO,ok
10,9,10,2017,008673,1.25,NA,45,logarithmic,compound,alternate,spiral,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3728,1,1,1377,453,166,1500,NA,NA,NA,NA,798,208,NA,NA,NO,ok
10,9,10,2017,009311,1,NA,30,Horizontal,simple,alternate,distic,r,r?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3641,15,15,594,28,182,1500,736,102,401,441,269,10,NA,221,NO,ok
10,9,10,2017,012472,1.25,NA,?,?,simple,alternate,spiral,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3544,2,2,547,142,242,1500,762,116,620,468,192,32,NA,190,NO,ok
10,9,10,2017,003065,1.25,NA,45,vertical,simple,alternate,spiral,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3646,5,5,2027,166,211,1500,642,117,429,483,948,62,NA,245,NO,ok
10,9,10,2017,012608,1.125,NA,45,vertical,simple,alternate,spiral,r,r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3702,7,7,801,103,144,1500,583,102,268,230,301,26,NA,95,NO,ok
10,9,10,2017,003089,1.125,NA,30,Horizontal,simple,alternate,spiral,r,r?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3713,6,6,499,26,221,1500,NA,NA,NA,NA,175,7,NA,NA,NO,ok
