TRIP#,Date Collected,file name,plant ID,image height (px),image width (px),Leaf id,,Area real (px^2),Area pred (px^2),Blade length (px),Tip length (px),patiole length (px),Width (px),Have holes?,Borders are damaged?,Obs
,,17_OURATEA_02,,3507,2550,1,,511349,,,,,,N,N,
,,17_OURATEA_02,,3507,2550,2,,2595274,,,,,,N,N,
,,17_OURATEA_02,,3507,2550,3,,846941,,,,,,N,N,
,,17_OURATEA_03,,3507,2550,1,,2887656,,,,,,N,N,
,,17_OURATEA_04,,3507,2550,1,,2226477,,,,,,N,N,
,,18_HEOBROMA_001,,3507,2550,1,,1988021,,,,,,Y,N,MINOR HOLES
,,18_HEOBROMA_001,,3507,2550,2,,1333405,,,,,,Y,N,MINOR HOLES
,,18_HEOBROMA_02,,3507,2550,1,,1513320,,,,,,Y,Y,MODERATE DAMAGE
,,18_HEOBROMA_02,,3507,2550,2,,1568132,,,,,,Y,N,MINOR HOLES
,,18_HEOBROMA_03,,3507,2550,1,,1965968,,,,,,Y,N,MODERATE HOLES
,,18_HEOBROMA_03,,3507,2550,2,,1476728,,,,,,Y,N,MODERATE HOLES
,,18_HEOBROMA_04,,3507,2550,1,,1083495,,,,,,Y,N,MODERATE HOLES
,,18_HEOBROMA_04,,3507,2550,2,,896436,,,,,,N,N,
,,18_HEOBROMA_05,,3507,2550,1,,1282878,,,,,,Y,Y,MODERATE DAMAGE
,,18_HEOBROMA_05,,3507,2550,2,,765046,,,,,,N,N,
,,19_SIPARUNA_001,,3507,2550,1,,274629,,,,,,Y,Y,MINOR
,,19_SIPARUNA_001,,3507,2550,2,,251976,,,,,,N,N,
,,19_SIPARUNA_001,,3507,2550,3,,317239,,,,,,N,Y,MINOR
,,19_SIPARUNA_001,,3507,2550,4,,292611,,,,,,N,N,
,,19_SIPARUNA_001,,3507,2550,5,,177931,,,,,,N,N,
,,19_SIPARUNA_001,,3507,2550,6,,288021,,,,,,N,N,
,,19_SIPARUNA_001,,3507,2550,7,,303963,,,,,,N,N,
,,19_SIPARUNA_001,,3507,2550,8,,297590,,,,,,N,N,
,,19_SIPARUNA_001,,3507,2550,9,,211981,,,,,,N,N,
,,19_SIPARUNA_001,,3507,2550,10,,303685,,,,,,N,N,
,08-07,13_AMPHIRRHOX_001,,3507,2550,1,,389351,,,,,,Y,N,MINOR
,,13_AMPHIRRHOX_001,,3507,2550,2,,676576,,,,,,Y,N,MINOR
,,13_AMPHIRRHOX_001,,3507,2550,3,,1020725,,,,,,N,N,
,,13_AMPHIRRHOX_002,,3507,2550,1,,788571,,,,,,N,N,
,,13_AMPHIRRHOX_002,,3507,2550,2,,298245,,,,,,Y,Y,MODERATE DAMAGE
,,13_AMPHIRRHOX_002,,3507,2550,3,,898155,,,,,,N,N,
,,13_AMPHIRRHOX_002,,3507,2550,4,,1276581,,,,,,N,N,
TRIP 6,07-21-17,240005_001,,3507,2550,1,,1546040,,,,,,Y,Y,MINOR HOLES- MODERATE BORDER DAMAGE
,,240005_001,,3507,2550,2,,1527524,,,,,,N,N,
,,240005_002,,3507,2550,1,,1785472,,,,,,N,N,
,,240005_002,,3507,2550,2,,1463705,,,,,,N,N,
,,240005_003,,3507,2550,1,,1316132,,,,,,Y,N,MINOR HOLES
,,240006_001,,3507,2550,1,,1047941,,,,,,Y,N,MINOR HOLES
,,240006_001,,3507,2550,2,,1602151,,,,,,N,N,
,,240006_002,,3507,2550,1,,990107,,,,,,N,N,
,,240006_002,,3507,2550,2,,1773406,,,,,,N,N,
,,240006_003,,3507,2550,1,,2015711,,,,,,N,N,
,,240015_DOUGFLA_001,,3507,2550,1,,872829,,,,,,Y,N,MINOR HOLES
,,240015_DOUGFLA_001,,3507,2550,2,,1175670,,,,,,N,N,
,,240015_DOUGFLA_001,,3507,2550,3,,1117387,,,,,,N,N,
,,240015_DOUGFLA_02,,3507,2550,1,,1071940,,,,,,Y,N,MINOR HOLES
,,240015_DOUGFLA_02,,3507,2550,2,,1308405,,,,,,N,N,
,,240025_CONERI_02,,3324,2416,1,,432043,,,,,,Y,N,MINOR
,,240025_CONERI_02,,3324,2416,2,,313712,,,,,,Y,Y,MINOR
,,240025_CONERI_02,,3324,2416,3,,339975,,,,,,N,N,
,,240025_CONERI_02,,3324,2416,4,,394224,,,,,,N,N,
,,240025_CONERI_02,,3324,2416,5,,283043,,,,,,N,N,
,,240025_CONERI_02,,3324,2416,6,,393153,,,,,,N,N,
,,240025_CONERI_02,,3324,2416,7,,500606,,,,,,N,N,
,,240025_CONERI_02,,3324,2416,8,,384006,,,,,,N,N,
,,240025_CONERI_02,,3324,2416,9,,530699,,,,,,N,N,
,,240027_PROALT_001,,3507,2550,1,,488647,,,,,,N,N,
,,240027_PROALT_001,,3507,2550,2,,403289,,,,,,N,N,
,,240027_PROALT_001,,3507,2550,3,,555736,,,,,,N,N,
,,240027_PROALT_001,,3507,2550,4,,512885,,,,,,N,N,
,,240027_PROALT_001,,3507,2550,5,,323291,,,,,,N,N,
,,240027_PROALT_001,,3507,2550,6,,515422,,,,,,N,N,
,,240027_PROALT_02,,3507,2550,1,,426398,,,,,,N,N,
,,240027_PROALT_02,,3507,2550,2,,235723,,,,,,N,N,
,,240027_PROALT_02,,3507,2550,3,,133405,,,,,,N,Y,HALFLEAF MISSING
,,240027_PROALT_02,,3507,2550,4,,462497,,,,,,N,N,
,,240029_001,,3507,2550,1,,1443843,,,,,,N,Y,MINOR TIP MISSING
,,240029_001,,3507,2550,2,,1418998,,,,,,Y,N,MINOR HOLE
,,240029_INGSP_2902,,3507,2550,1,,1759002,,,,,,Y,N,MINOR DAMAGE
,,240029_INGSP_2902,,3507,2550,2,,1724001,,,,,,Y,Y,MODERATE HOLE
,,240029_INGSP_2903,,3507,2550,1,,1364717,,,,,,Y,N,MINOR
,,240029_INGSP_2903,,3507,2550,2,,1693556,,,,,,N,Y,MINOR
,,240031_001,,3507,2550,1,,374404,,,,,,N,N,
,,240031_001,,3507,2550,2,,194540,,,,,,N,N,
,,240031_001,,3507,2550,3,,1061274,,,,,,Y,Y,MODERATE DAMAGE
,,240031_001,,3507,2550,4,,625914,,,,,,N,N,
,,240031_001,,3507,2550,5,,710913,,,,,,Y,Y,MINOR
,,240031_002,,3507,2550,1,,992240,,,,,,N,Y,MODERATE DAMAGE
,,240031_002,,3507,2550,2,,748260,,,,,,Y,N,MODERATE HOLES
,,240032_ASTLEC_02,,3507,2550,1,,492138,,,,,,N,N,
,,240032_ASTLEC_02,,3507,2550,2,,311031,,,,,,N,N,
,,240032_ASTLEC_02,,3507,2550,3,,244524,,,,,,N,N,
,,240032_ASTLEC_02,,3507,2550,4,,395177,,,,,,N,N,
,,240032_ASTLEC_02,,3507,2550,5,,561215,,,,,,N,N,
,,240032_ASTLEC_02,,3507,2550,6,,499337,,,,,,Y,N,MINOR
,,240032_ASTLEC_03,,3507,2550,1,,546574,,,,,,N,N,
,,240032_ASTLEC_03,,3507,2550,2,,560412,,,,,,N,N,
,,240032_ASTLEC_03,,3507,2550,3,,457640,,,,,,N,N,
,,240032_ASTLEC_03,,3507,2550,4,,579918,,,,,,N,N,
,,240032_ASTLEC_04,,3507,2550,1,,561452,,,,,,N,N,
,,240032_ASTLEC_04,,3507,2550,2,,480894,,,,,,N,N,
,,240032_ASTLEC_04,,3507,2550,3,,320650,,,,,,N,N,
,,240098_001,,3507,2550,1,,690771,,,,,,N,N,
,,240098_001,,3507,2550,2,,246079,,,,,,N,Y,HALF MISSING
,,240098_001,,3507,2550,3,,718052,,,,,,N,N,
,,240098_001,,3507,2550,4,,619722,,,,,,N,N,
,,240098_001,,3507,2550,5,,643147,,,,,,N,N,
,,240098_002,,3507,2550,1,,603108,,,,,,N,N,
,,240098_002,,3507,2550,2,,676101,,,,,,N,N,
,,240098_002,,3507,2550,3,,493694,,,,,,N,N,
,,240098_002,,3507,2550,4,,660502,,,,,,N,N,
,,240098_003,,3507,2550,1,,592007,,,,,,N,N,
,,240120_001,,3507,2550,1,,3250242,,,,,,N,Y,MINOR
,,240120_002,,3507,2550,1,,2500234,,,,,,N,Y,MINOR HOLE
,,240120_003,,3507,2550,1,,2353537,,,,,,N,N,
,,240120_004,,3507,2550,1,,2254182,,,,,,N,N,
,,240120_005,,3507,2550,1,,2098542,,,,,,Y,N,MINOR HOLE
,,240144_001,,3507,2550,1,,492328,,,,,,N,Y,MINOR
,,240144_001,,3507,2550,2,,547989,,,,,,Y,N,MINOR-BROWN SCRATCHES
,,240144_001,,3507,2550,3,,522630,,,,,,N,N,
,,240144_001,,3507,2550,4,,489819,,,,,,Y,Y,MINOR
,,240144_001,,3507,2550,5,,496944,,,,,,N,N,
,,240144_001,,3507,2550,6,,485929,,,,,,N,Y,MINOR
,,240144_002,,3507,2550,1,,512696,,,,,,Y,N,MINOR
,,240144_002,,3507,2550,2,,413293,,,,,,N,N,
,,240144_002,,3507,2550,3,,392914,,,,,,Y,Y,MINOR
,,240144_002,,3507,2550,4,,515370,,,,,,Y,N,MINOR
,,240144_002,,3507,2550,5,,280457,,,,,,N,N,
,,240144_002,,3507,2550,6,,498429,,,,,,Y,N,MINOR
,,240144_002,,3507,2550,7,,281835,,,,,,N,Y,MINOR
,,240144_002,,3507,2550,8,,277175,,,,,,N,N,
,,240144_003,,3507,2550,1,,304109,,,,,,Y,N,MINOR
,,240144_003,,3507,2550,2,,582949,,,,,,N,N,
,,240144_003,,3507,2550,3,,523097,,,,,,N,N,
,,240144_003,,3507,2550,4,,377016,,,,,,N,Y,MINOR
,,240144_003,,3507,2550,5,,398530,,,,,,Y,Y,MINOR
,,240144_003,,3507,2550,6,,367660,,,,,,N,N,
,,240144_004,,3507,2550,1,,415326,,,,,,N,Y,MINOR
,,240148_001,,3507,2550,1,,1433394,,,,,,N,Y,MINOR
,,240148_001,,3507,2550,2,,1094461,,,,,,N,N,
,,240148_002,,3507,2550,1,,1153316,,,,,,Y,N,MODERATE DAMAGE
,,240148_002,,3507,2550,2,,1383093,,,,,,N,N,
,,240148_002,,3507,2550,3,,1248003,,,,,,N,N,
,,240151_GUADIS_001,,3507,2550,1,,545052,,,,,,N,N,
,,240151_GUADIS_001,,3507,2550,2,,864417,,,,,,N,N,
,,240151_GUADIS_001,,3507,2550,3,,566438,,,,,,N,N,
,,240151_GUADIS_001,,3507,2550,4,,1063346,,,,,,N,N,
,,240151_GUADIS_02,,3507,2550,1,,1128594,,,,,,N,N,
,,240151_GUADIS_02,,3507,2550,2,,548865,,,,,,N,N,
,,240151_GUADIS_02,,3507,2550,3,,1081186,,,,,,N,N,
,,240151_GUADIS_03,,3507,2550,1,,1128183,,,,,,N,N,
,,240151_GUADIS_03,,3507,2550,2,,549155,,,,,,N,N,
,,240151_GUADIS_03,,3507,2550,3,,1080756,,,,,,N,N,
,,240152_001,,3507,2550,1,,1614736,,,,,,Y,Y,MODERATE DAMAGE
,,240152_001,,3507,2550,2,,1858496,,,,,,Y,Y,SEVERE DAMAGE
,,240152_002,,3507,2550,1,,2207321,,,,,,N,N,
,,240152_002,,3507,2550,2,,1160221,,,,,,Y,N,MODERATE DAMAGE
,,240152_003,,3507,2550,1,,1789121,,,,,,N,N,
,,240153_001,,3507,2550,1,,494912,,,,,,N,N,
,,240153_001,,3507,2550,2,,676739,,,,,,N,N,
,,240153_001,,3507,2550,3,,339947,,,,,,N,N,
,,240153_001,,3507,2550,4,,587265,,,,,,N,N,
,,240153_001,,3507,2550,5,,1166377,,,,,,N,N,
,,240153_002,,3507,2550,1,,748488,,,,,,N,N,
,,240153_002,,3507,2550,2,,463662,,,,,,N,N,
,,240223_001,,3507,2550,1,,758861,,,,,,N,N,
,,240223_001,,3507,2550,2,,1077581,,,,,,N,N,
,,240223_001,,3507,2550,3,,999648,,,,,,N,N,
,,240223_002,,3507,2550,1,,1040714,,,,,,N,N,
