"id","trip","mm","dd","dbh","tnlc","cii","nl","lblade","cd1","cd2","cpa","ldm","sp","dbh0","larea","aldm"
90548,8,8,19,2.988,90,1.5,5,"simple",156,143,17520.6622290703,7.58,"Eschweilera atropetiolata",30,175.759773463169,1.516
100769,8,8,17,1.469,56,1,4,"simple",125,108,10602.8752058656,3.43,"Eschweilera atropetiolata",11,122.296492333416,0.8575
112881,9,9,22,1.87,71.5,1.5,5,"simple",169,185,24555.4735786212,8.84,"Eschweilera bracteosa",19,224.453132687516,1.768
113460,9,9,15,1.323,60,1,5,"simple",171,132,17728.0073442072,8.33,"Eschweilera bracteosa",12,173.264038917661,1.666
111666,8,8,17,1.774,25,1.25,1,"simple",147,140,16163.4942027195,8.44,"Eschweilera coriacea",13,696.165211788649,8.44
113766,9,9,14,1.542,64,1.25,5,"simple",172,164,22154.5113931152,3.81,"Eschweilera coriacea",15,103.395223427771,0.762
220137,7,8,2,2.324,153,1.5,5,"simple",234,161,29589.0904078355,10.6,"Eschweilera coriacea",37,205.237550586791,2.12
230399,6,7,26,2.034,50,2,4,"simple",152,104,12415.5741669869,4.78,"Eschweilera coriacea",15,128.901660875412,1.195
111525,8,8,17,1.606,68,1,3,"simple",38,214,6386.85786474805,4.86,"Eschweilera grandiflora",12,166.125413659402,1.62
132286,8,8,22,1.471,56,1,2,"simple",107,124,10420.6628319573,2.63,"Eschweilera grandiflora",13,160.599023703293,1.315
220286,7,8,2,1.724,67.5,1.5,5,"simple",138,74,8020.48604461474,5.12,"Eschweilera grandiflora",15,122.125498082175,1.024
220734,7,8,5,1.386,26,1,3,"simple",91,32,2287.07945181337,2.77,"Eschweilera grandiflora",14,121.324533897284,0.923333333333333
220736,7,8,5,2.375,75,1,5,"simple",94,148,10926.4592491853,5.33,"Eschweilera grandiflora",25,112.879116009189,1.066
230020,6,7,24,1.317,110,1,5,"simple",140,132,14514.1580595848,6.75,"Eschweilera grandiflora",11,141.34710441964,1.35
230478,6,7,26,1.42,38,1.5,3,"simple",176,85,11749.5565244258,3.63,"Eschweilera grandiflora",12,162.660639326993,1.21
240005,6,7,21,1.475,187,1,5,"simple",85,72,4806.63675999238,4.12,"Eschweilera grandiflora",16,110.554665167737,0.824
113763,9,9,14,1.327,187.5,1.25,6,"simple",117,124,11394.5565545702,1.44,"Eschweilera pedicellata",12,35.1656105940864,0.24
132521,8,8,22,1.655,342,1,5,"simple",153,135,16222.3990649743,1.69,"Eschweilera pedicellata",15,58.4032203831446,0.338
