"id","trip","mm","dd","dbh","tnlc","cii","nl","lblade","ldm","sp","dbh0"
80793,8,8,20,1736,50,1.25,4,"simple",488,"Lecythis prancei",14
100612,8,8,18,2111,48,1,3,"simple",1028,"Licania bracteata",19
101052,8,8,18,2393,176,1.75,5,"simple",657,"Licania canescens/membranacea PP",12
113186,9,9,15,1154,130,1,5,"simple",171,"Licania canescens/membranacea PP",12
113173,9,9,15,1854,60,1,5,"simple",448,"Licania heteromorpha",19
122359,10,10,6,3140,407,1,6,"simple",388,"Licania heteromorpha",29
132847,8,8,23,1278,80,1.5,5,"simple",356,"Licania heteromorpha",10
142540,10,10,7,2945,448,1.25,6,"simple",376,"Licania heteromorpha",22
202666,10,10,4,1559,63,1.25,5,"simple",387,"Licania heteromorpha",13
242403,10,10,5,1066,115.5,1,10,"simple",212,"Licania laxiflora",10
90982,8,8,20,1535,125,1,5,"simple",266,"Licania membranacea",13
90672,8,8,20,1368,30,1,5,"simple",333,"Licania reticulata",12
100592,8,8,18,1902,175,1,6,"simple",150,"Licania sp.10.FITO",17
153733,10,10,7,1514,120,1,6,"simple",405,"Licania sp.2.FITO",15
90756,8,8,20,1727,128,1.25,5,"simple",191,"Licania unguiculata",20
113292,9,9,15,3000,164.5,1,3,"simple",400,"Manilkara huberi",32
142551,10,10,7,1911,292.5,1.5,10,"simple",102,"Maquira guianensis",12
170197,10,10,7,2767,40,1,5,"simple",529,"Maquira sclerophylla",29
132972,10,10,7,1943,4,1.25,0.5,"compound",766,"Matayba purgans",15
240927,10,10,5,1858,44,1.75,5,"simple",713,"Mezilaurus itauba",18
240929,10,10,5,1939,76,1.75,6,"simple",961,"Mezilaurus itauba",16
172345,10,10,4,2168,480,1.25,6,"simple",298,"Miconia argyrophylla",17
240853,10,10,5,2358,120,1.25,5,"simple",837,"Miconia eriodonta",17
142709,10,10,7,1744,42,1.125,5,"simple",836,"Miconia holosericea",15
132796,8,8,23,1281,85,1,5,"simple",309,"Miconia punctata",10
